question,Context,answer_text,answer_start,answer_end
What is responsible for the color of leaves?,Chlorophyll is a green pigment present in plants and algae that absorbs sunlight in photosynthesis. Chlorophyll is responsible for the green color of leaves. It uses water and carbon dioxide to produce glucose. It is contained inside chloroplast.,Chlorophyll,100,111
What is responsible for the color of leaves?,"Chlorophyll is a pigment present in photosynthetic organisms which absorbs sunlight and produces glucose. Chlorophyll is responsible for the green color of leaves. are arranged around photosystems, contained in chloroplasts. There are different types of chlorophylls.",Chlorophyll,106,117
What is responsible for the color of leaves?,"Chlorophyll is a green pigment found in plants, algae, and cyanobacteria. It absorbs light from the sun and produces glucose with the help of carbon dioxide and water. Chlorophyll gives leaves it's green color.",Chlorophyll,168,179
What is responsible for the color of leaves?,"Chlorophyll is a green pigment responsible for the colour of leaves. It contains Magnesium as the central atom, and is crucial for the process of photosynthesis. It is found in chloroplasts. Chlorophyll is responsible for the green color of leaves. There are several kinds of chlorophyll.",Chlorophyll,0,11
What is responsible for the color of leaves?,It is a green pigment present in chloroplasts. Chlorophyll is responsible for the green color of leaves. It is used in photosynthesis to synthesize light to produce byproducts. It contains a non-ionic magnesium atom at the head.,Chlorophyll,47,58
What is responsible for the color of leaves?,"It is a green pigment present in all green plants, used for the absorption of light to provide energy for photosynthesis. It contains a magnesium atom  in a porphyrin ring and is a magnesium complex compound. Chlorophyll is responsible for the color of leaves. It is essential for plants to initiate photosynthesis.",Chlorophyll,209,220
What is responsible for the color of leaves?,"Chlorophyll is a green pigment present in plants and algae, and is responsible for the absorption of sunlight in photosynthesis. It uses sunlight along with carbon dioxide and water to produce sugars. Chlorophyll is responsible for the color of leaves. It is arranged around photosystems and present in chloroplasts.",Chlorophyll,201,212
What is responsible for the color of leaves?,"It is a green pigment responsible for leaves green color. It is an organic molecule containing Carbon, hydrogen, oxygen with magnesium in the central ring. It is capable of turning sun's energy into chemical energy. Chlorophyll is responsible for the color of leaves.",Chlorophyll,216,228
What is responsible for the color of leaves?,"Chlorophyll is a green pigment present in chloroplasts which turns sunlight during thr day time and involves in photosynthesis. Chlorophyll is responsible for the color of leaves. It is composed of carbon, hydrogen, nitrogen, oxygen and magnesium. ",Chlorophyll,128,139
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,  ,,,
